,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
46,"SVC(C=10.0, gamma=0.001)",10.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 0.001}",0.1851,1,0.2139,0.659,1,0.6729,-0.3193,1,-0.3084,0.6131,3,0.6194
47,"SVC(C=10.0, gamma=0.001)",10.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 0.01}",0.1515,5,0.4933,0.6343,69,0.781,-0.3257,5,-0.1928,0.6166,1,0.7636
48,"SVC(C=10.0, gamma=0.001)",10.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 0.1}",0.1465,7,0.9976,0.6192,72,0.9995,-0.3441,12,-0.0004,0.5932,13,0.9991
49,"SVC(C=10.0, gamma=0.001)",10.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 1.0}",0.1177,36,0.9976,0.6498,18,0.9995,-0.3535,37,-0.0004,0.5815,67,0.9991
50,"SVC(C=10.0, gamma=0.001)",10.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 10.0}",0.1154,40,0.9976,0.6519,4,0.9995,-0.3542,41,-0.0004,0.5797,72,0.9991
51,"SVC(C=10.0, gamma=0.001)",10.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 100.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
52,"SVC(C=10.0, gamma=0.001)",10.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 1000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
53,"SVC(C=10.0, gamma=0.001)",10.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 10000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
54,"SVC(C=10.0, gamma=0.001)",100.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 0.0001}",0.1851,1,0.2158,0.6583,2,0.6737,-0.3197,2,-0.3076,0.6131,2,0.6201
55,"SVC(C=10.0, gamma=0.001)",100.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 0.001}",0.1442,11,0.4583,0.6289,70,0.7656,-0.3322,7,-0.207,0.6086,6,0.7465
56,"SVC(C=10.0, gamma=0.001)",100.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 0.01}",0.1228,12,0.9728,0.6176,78,0.9906,-0.3378,8,-0.0081,0.6009,8,0.9932
57,"SVC(C=10.0, gamma=0.001)",100.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 0.1}",0.1465,7,0.9976,0.6192,72,0.9995,-0.3441,12,-0.0004,0.5932,13,0.9991
58,"SVC(C=10.0, gamma=0.001)",100.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 1.0}",0.1177,36,0.9976,0.6498,18,0.9995,-0.3535,37,-0.0004,0.5815,67,0.9991
59,"SVC(C=10.0, gamma=0.001)",100.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 10.0}",0.1154,40,0.9976,0.6519,4,0.9995,-0.3542,41,-0.0004,0.5797,72,0.9991
60,"SVC(C=10.0, gamma=0.001)",100.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 100.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
61,"SVC(C=10.0, gamma=0.001)",100.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 1000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
62,"SVC(C=10.0, gamma=0.001)",100.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 100.0, 'classifier__gamma': 10000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
63,"SVC(C=10.0, gamma=0.001)",1000.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 0.0001}",0.1466,6,0.4554,0.6288,71,0.7643,-0.3318,6,-0.2082,0.6095,5,0.7452
64,"SVC(C=10.0, gamma=0.001)",1000.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 0.001}",0.1059,81,0.8539,0.6016,81,0.9407,-0.3498,17,-0.0511,0.5885,17,0.9376
65,"SVC(C=10.0, gamma=0.001)",1000.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 0.01}",0.1202,13,0.9976,0.6183,76,0.9995,-0.3386,9,-0.0004,0.6004,9,0.9991
66,"SVC(C=10.0, gamma=0.001)",1000.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 0.1}",0.1465,7,0.9976,0.6192,72,0.9995,-0.3441,12,-0.0004,0.5932,13,0.9991
67,"SVC(C=10.0, gamma=0.001)",1000.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 1.0}",0.1177,36,0.9976,0.6498,18,0.9995,-0.3535,37,-0.0004,0.5815,67,0.9991
68,"SVC(C=10.0, gamma=0.001)",1000.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 10.0}",0.1154,40,0.9976,0.6519,4,0.9995,-0.3542,41,-0.0004,0.5797,72,0.9991
69,"SVC(C=10.0, gamma=0.001)",1000.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 100.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
70,"SVC(C=10.0, gamma=0.001)",1000.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 1000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
71,"SVC(C=10.0, gamma=0.001)",1000.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 10000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
72,"SVC(C=10.0, gamma=0.001)",10000.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 0.0001}",0.1179,19,0.8341,0.6063,80,0.9308,-0.3453,16,-0.0598,0.5944,12,0.9267
73,"SVC(C=10.0, gamma=0.001)",10000.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 0.001}",0.1178,20,0.9848,0.6081,79,0.9943,-0.3423,11,-0.0049,0.5988,11,0.9952
74,"SVC(C=10.0, gamma=0.001)",10000.0,0.01,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 0.01}",0.1202,13,0.9976,0.6183,76,0.9995,-0.3386,9,-0.0004,0.6004,9,0.9991
75,"SVC(C=10.0, gamma=0.001)",10000.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 0.1}",0.1465,7,0.9976,0.6192,72,0.9995,-0.3441,12,-0.0004,0.5932,13,0.9991
76,"SVC(C=10.0, gamma=0.001)",10000.0,1.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 1.0}",0.1177,36,0.9976,0.6498,18,0.9995,-0.3535,37,-0.0004,0.5815,67,0.9991
77,"SVC(C=10.0, gamma=0.001)",10000.0,10.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 10.0}",0.1154,40,0.9976,0.6519,4,0.9995,-0.3542,41,-0.0004,0.5797,72,0.9991
78,"SVC(C=10.0, gamma=0.001)",10000.0,100.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 100.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
79,"SVC(C=10.0, gamma=0.001)",10000.0,1000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 1000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991
