,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
62,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3309,95,-0.1291,-0.2572,92,-0.0699
63,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3237,84,-0.0913,-0.2422,78,-0.0455
64,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.302,30,-0.0647,-0.2212,48,-0.0298
65,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3054,45,-0.0564,-0.2158,23,-0.0251
66,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3649,130,-0.2051,-0.3829,130,-0.1608
67,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3436,116,-0.131,-0.2894,104,-0.0724
68,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3399,109,-0.0864,-0.2613,96,-0.042
69,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3105,62,-0.0548,-0.2214,51,-0.022
70,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3105,63,-0.0387,-0.2213,49,-0.0151
71,"RandomForestClassifier(max_depth=4, n_estimators=64)",8,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3026,36,-0.0291,-0.2095,5,-0.01
72,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3742,136,-0.1534,-0.4652,138,-0.1318
73,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3541,125,-0.0705,-0.3694,126,-0.0376
74,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3356,101,-0.024,-0.2895,105,-0.0094
