,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
48,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3379,86,-0.1751,-0.3311,117,-0.127
49,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3542,131,-0.097,-0.2628,101,-0.0642
50,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3256,45,-0.0463,-0.2199,58,-0.0407
51,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3245,40,-0.0241,-0.2129,25,-0.0263
52,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3219,24,-0.0137,-0.2054,3,-0.0216
53,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.317,13,-0.0117,-0.2023,1,-0.0187
54,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3537,129,-0.2838,-0.4472,132,-0.3205
55,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3448,109,-0.2413,-0.3231,116,-0.2037
56,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3399,93,-0.1867,-0.2499,98,-0.1376
57,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3314,71,-0.1315,-0.2288,77,-0.1062
58,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3493,120,-0.0878,-0.2291,78,-0.089
59,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.331,70,-0.0571,-0.218,47,-0.0803
60,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3615,141,-0.2297,-0.3952,131,-0.215
61,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.349,118,-0.1724,-0.2899,111,-0.1283
62,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3364,81,-0.1025,-0.2448,92,-0.0765
63,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3214,20,-0.0564,-0.2194,56,-0.0538
64,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3247,42,-0.0228,-0.2127,22,-0.0396
65,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3277,52,-0.0159,-0.2119,20,-0.0355
66,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3527,125,-0.1969,-0.3682,129,-0.165
67,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3537,130,-0.1201,-0.2745,102,-0.083
68,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3454,111,-0.0659,-0.2378,86,-0.0521
69,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.75,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3407,97,-0.0285,-0.221,62,-0.0339
70,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.75,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3118,3,-0.0187,-0.2086,11,-0.0257
71,"RandomForestClassifier(max_depth=8, n_estimators=64)",8,0.75,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3258,48,-0.013,-0.2062,4,-0.0218
72,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3409,98,-0.1298,-0.4679,137,-0.135
73,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3389,91,-0.0463,-0.3495,120,-0.0456
74,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3323,74,-0.0072,-0.2919,112,-0.0113
75,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3259,49,-0.0009,-0.2411,90,-0.0023
76,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3277,53,-0.0004,-0.2285,75,-0.0001
77,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.3236,30,-0.0004,-0.2163,39,0.0
78,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3546,132,-0.2734,-0.477,141,-0.3412
79,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3557,134,-0.2367,-0.3705,130,-0.2218
80,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3536,128,-0.185,-0.2847,106,-0.1494
81,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3243,37,-0.1202,-0.2369,85,-0.1056
82,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3308,66,-0.0648,-0.2286,76,-0.0755
83,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3326,76,-0.0312,-0.2191,54,-0.067
84,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3559,135,-0.2155,-0.4634,135,-0.2394
85,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3425,103,-0.1387,-0.3666,127,-0.133
86,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3525,124,-0.0734,-0.2866,108,-0.0628
87,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3401,95,-0.0239,-0.2463,93,-0.0307
88,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3292,62,-0.0045,-0.2348,84,-0.0152
89,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3241,33,-0.0006,-0.2195,57,-0.0076
90,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3507,122,-0.1718,-0.4644,136,-0.186
91,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3484,113,-0.0833,-0.3574,123,-0.0807
92,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3442,106,-0.0251,-0.292,113,-0.0268
93,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.75,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.331,69,-0.0029,-0.2487,97,-0.0072
94,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.75,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3334,78,-0.0008,-0.2224,67,-0.0025
95,"RandomForestClassifier(max_depth=8, n_estimators=64)",16,0.75,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3294,63,-0.0004,-0.2117,19,-0.0004
96,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.3531,127,-0.1288,-0.4719,139,-0.1377
97,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3324,75,-0.0448,-0.3421,118,-0.045
98,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3485,114,-0.0082,-0.2846,105,-0.0114
99,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3261,50,-0.0006,-0.2343,83,-0.0011
100,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3291,61,-0.0004,-0.2227,69,-0.0001
101,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.3126,5,-0.0004,-0.2108,16,0.0
102,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3799,144,-0.28,-0.4995,144,-0.3367
103,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3611,140,-0.2289,-0.3607,125,-0.215
104,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3413,99,-0.1824,-0.2827,104,-0.1457
105,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3287,57,-0.1199,-0.2399,88,-0.1034
106,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3384,89,-0.0705,-0.2325,81,-0.0798
107,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3404,96,-0.0366,-0.2184,50,-0.0664
108,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.349,117,-0.2162,-0.4622,133,-0.2462
109,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3518,123,-0.1395,-0.3587,124,-0.1315
110,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3429,104,-0.0761,-0.2946,114,-0.0659
111,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.3435,105,-0.0217,-0.2476,95,-0.0301
112,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3237,31,-0.0054,-0.2222,66,-0.0172
113,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3304,65,-0.0005,-0.214,29,-0.0088
114,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3572,137,-0.166,-0.4834,142,-0.1863
115,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3608,139,-0.0778,-0.3485,119,-0.0777
116,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3414,100,-0.0295,-0.2873,109,-0.0289
117,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.75,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3445,107,-0.0047,-0.2534,99,-0.0082
118,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.75,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3344,79,-0.0006,-0.2323,80,-0.0019
119,"RandomForestClassifier(max_depth=8, n_estimators=64)",32,0.75,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3218,23,-0.0004,-0.2131,26,-0.0004
120,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",-0.355,133,-0.1333,-0.49,143,-0.1414
121,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",-0.3662,143,-0.0457,-0.368,128,-0.0479
122,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",-0.3448,108,-0.0082,-0.2973,115,-0.0115
123,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3486,115,-0.0007,-0.2602,100,-0.0015
124,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3244,38,-0.0005,-0.2242,73,-0.0001
125,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.3181,16,-0.0004,-0.2191,55,0.0
126,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.25,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3637,142,-0.2827,-0.4628,134,-0.3524
127,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.25,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3399,94,-0.2313,-0.3526,121,-0.2162
128,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.25,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3368,84,-0.18,-0.2856,107,-0.1425
129,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.25,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3258,47,-0.1156,-0.2429,91,-0.099
130,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.25,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.3326,76,-0.0653,-0.2238,71,-0.0785
131,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.25,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3252,44,-0.0331,-0.2158,38,-0.0657
132,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.5,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3531,126,-0.2187,-0.4755,140,-0.246
133,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.5,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",-0.3453,110,-0.1367,-0.362,126,-0.1272
134,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.5,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",-0.3345,80,-0.0709,-0.2808,103,-0.0665
135,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.5,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",-0.325,43,-0.0223,-0.2407,89,-0.0318
136,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.5,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",-0.3417,102,-0.0053,-0.2302,79,-0.0142
137,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.5,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",-0.3257,46,-0.0009,-0.2143,31,-0.0074
138,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.75,2,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",-0.3595,138,-0.1706,-0.4706,138,-0.185
139,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.75,4,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",-0.3366,83,-0.0813,-0.3557,122,-0.078
140,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.75,8,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",-0.3416,101,-0.0281,-0.2892,110,-0.029
141,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.75,16,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",-0.3241,33,-0.0034,-0.2474,94,-0.0082
142,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.75,32,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",-0.3288,58,-0.0004,-0.2182,49,-0.0015
143,"RandomForestClassifier(max_depth=8, n_estimators=64)",64,0.75,64,"{'classifier': RandomForestClassifier(max_depth=8, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",-0.3321,73,-0.0004,-0.2177,45,-0.0002

,hamming_loss,label_ranking_loss,model
0,-0.295,-0.2107,binary_relevance
0,-0.295,-0.213,classifier_chains
0,-0.2998,-0.2083,label_powerset

,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss,model
