,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss
0,0.2446,0.694,-0.2686,binary_relevance_svms
0,0.259,0.6852,-0.2854,classifier_chain_svms
0,0.1871,0.6769,-0.3537,label_powerset_svms

,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
47,"SVC(C=0.0001, gamma=0.0001)",10.0,0.01,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10.0, 'classifier__gamma': 0.01}",0.1395,3,0.2821,0.6646,1,0.7563,-0.2928,2,-0.2124,binary_relevance_svms
39,"SVC(C=0.0001, gamma=0.0001)",1.0,0.1,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 1.0, 'classifier__gamma': 0.1}",0.1611,1,0.5636,0.6728,1,0.869,-0.2917,1,-0.1148,classifier_chain_svms
0,"SVC(C=0.0001, gamma=0.0001)",0.0001,0.0001,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 0.0001}",0.1225,16,0.1482,0.6631,1,0.674,-0.3562,23,-0.3442,label_powerset_svms

,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,model
47,"SVC(C=0.0001, gamma=0.0001)",10.0,0.01,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 10.0, 'classifier__gamma': 0.01}",0.1395,3,0.2821,0.6646,1,0.7563,-0.2928,2,-0.2124,binary_relevance_svms
39,"SVC(C=0.0001, gamma=0.0001)",1.0,0.1,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 1.0, 'classifier__gamma': 0.1}",0.1611,1,0.5636,0.6728,1,0.869,-0.2917,1,-0.1148,classifier_chain_svms
0,"SVC(C=0.0001, gamma=0.0001)",0.0001,0.0001,"{'classifier': SVC(C=0.0001, gamma=0.0001), 'classifier__C': 0.0001, 'classifier__gamma': 0.0001}",0.1225,16,0.1482,0.6631,1,0.674,-0.3562,23,-0.3442,label_powerset_svms

