,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
12,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.5,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1662,15,0.1953,0.6369,49,0.6503,0.7713,67,0.7887,0.6788,74,0.6985,0.7833,70,0.7965
13,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.5,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.142,69,0.2075,0.6315,60,0.6729,0.7717,64,0.7918,0.6886,59,0.7102,0.7875,49,0.7965
14,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.5,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1587,33,0.2391,0.6605,10,0.6837,0.7871,8,0.7996,0.7048,20,0.7217,0.7926,18,0.7983
15,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.5,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1778,5,0.2425,0.666,4,0.6921,0.7852,17,0.8042,0.7123,2,0.7291,0.7873,50,0.7978
16,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.5,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1561,42,0.2562,0.6543,15,0.7035,0.7833,28,0.8027,0.7077,12,0.7332,0.7897,36,0.7948
17,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.5,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1659,19,0.2551,0.6636,6,0.7062,0.7846,24,0.805,0.7101,6,0.7382,0.7901,30,0.7941
18,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.75,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1711,10,0.1974,0.6388,48,0.6634,0.7626,89,0.7896,0.6762,76,0.7011,0.784,68,0.801
19,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.75,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1516,48,0.2278,0.6433,37,0.6768,0.7787,42,0.7952,0.692,55,0.7136,0.7911,25,0.7955
20,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.75,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1635,23,0.2455,0.651,19,0.6903,0.7781,47,0.7997,0.6964,47,0.7239,0.7887,41,0.7973
21,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.75,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1586,34,0.2524,0.6608,9,0.7034,0.785,21,0.8047,0.6988,37,0.7326,0.7898,35,0.797
22,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.75,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1683,13,0.2527,0.6665,3,0.7038,0.7856,16,0.805,0.7068,14,0.7356,0.79,33,0.7947
23,"RandomForestClassifier(max_depth=2, n_estimators=32)",2,0.75,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 2, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1755,6,0.2583,0.6594,12,0.7062,0.7861,13,0.8063,0.7131,1,0.7376,0.79,31,0.795
24,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1393,81,0.2767,0.6208,90,0.6866,0.7664,80,0.8189,0.6895,57,0.7523,0.7842,66,0.8198
25,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1251,108,0.3435,0.6154,105,0.7158,0.7742,57,0.8352,0.6969,44,0.7707,0.7857,60,0.8264
26,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1561,42,0.3977,0.6293,67,0.7407,0.7811,36,0.8447,0.7027,29,0.788,0.7933,12,0.8292
27,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1513,50,0.4169,0.645,33,0.7557,0.7872,7,0.8511,0.7047,21,0.7985,0.7963,5,0.8305
28,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1585,39,0.4541,0.6496,23,0.7748,0.7859,14,0.8551,0.7048,19,0.8045,0.7919,21,0.8291
29,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1489,53,0.4661,0.6523,17,0.7839,0.7872,6,0.8582,0.7113,4,0.8085,0.7924,19,0.8316
30,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.25,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1272,104,0.2262,0.6007,133,0.6494,0.7371,109,0.7877,0.6376,107,0.7019,0.7543,101,0.7982
31,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.25,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.142,68,0.2497,0.6154,106,0.6719,0.752,101,0.8041,0.6614,94,0.7305,0.7764,83,0.8104
32,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.25,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1107,130,0.3082,0.6174,98,0.6999,0.7687,75,0.822,0.6858,63,0.7536,0.7821,73,0.8166
33,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.25,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1443,61,0.3568,0.6363,52,0.7222,0.7787,43,0.837,0.7015,33,0.7768,0.7904,28,0.8252
34,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.25,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.166,18,0.4046,0.6507,20,0.7521,0.7786,44,0.8424,0.7032,27,0.7856,0.7882,43,0.8229
35,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.25,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1684,11,0.4121,0.6547,13,0.7565,0.7878,4,0.8466,0.7073,13,0.7942,0.7923,20,0.8223
36,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.5,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1463,58,0.2583,0.6346,54,0.6701,0.7563,95,0.7992,0.6701,85,0.7232,0.7869,53,0.8061
37,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.5,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1393,80,0.2975,0.6144,112,0.6882,0.7656,83,0.8267,0.676,78,0.7619,0.7806,78,0.825
38,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.5,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1445,59,0.3494,0.6177,97,0.7221,0.7673,78,0.8362,0.687,62,0.7741,0.7871,52,0.8254
39,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.5,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1445,59,0.3996,0.6458,30,0.7495,0.781,37,0.846,0.7028,28,0.7923,0.7857,59,0.8281
40,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1732,7,0.4279,0.6468,28,0.7647,0.7864,10,0.8508,0.7063,16,0.7981,0.7933,11,0.8277
41,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1564,40,0.4466,0.6366,51,0.7741,0.7851,18,0.8534,0.7043,23,0.8033,0.7908,26,0.8279
42,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.75,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1132,126,0.257,0.6052,129,0.6698,0.7541,97,0.8113,0.6619,92,0.7379,0.7742,85,0.8189
43,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.75,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1325,90,0.3283,0.621,88,0.7106,0.7712,69,0.8312,0.6888,58,0.7655,0.7898,34,0.8247
44,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.75,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1587,32,0.3681,0.6439,35,0.7334,0.7779,50,0.8434,0.6989,36,0.7851,0.79,32,0.8285
45,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.75,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1657,21,0.4119,0.654,16,0.7561,0.7851,20,0.8508,0.7021,31,0.7956,0.7962,6,0.8308
46,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.75,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1661,16,0.4439,0.6471,27,0.7668,0.7876,5,0.8529,0.7084,8,0.801,0.7927,16,0.8276
47,"RandomForestClassifier(max_depth=2, n_estimators=32)",4,0.75,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1661,16,0.4575,0.66,11,0.7795,0.7882,3,0.8576,0.7109,5,0.808,0.7912,24,0.8314
48,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1441,64,0.5705,0.6085,121,0.8102,0.7218,119,0.9146,0.6217,115,0.8745,0.7173,116,0.8816
49,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1199,119,0.7422,0.5885,139,0.8859,0.723,117,0.9567,0.6241,114,0.9426,0.7502,104,0.9328
50,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1226,114,0.8659,0.6127,114,0.9441,0.7483,103,0.9761,0.6616,93,0.9697,0.7706,94,0.9571
51,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1275,99,0.9335,0.6147,108,0.9754,0.7691,73,0.9861,0.6872,61,0.982,0.7841,67,0.9696
52,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1418,71,0.9543,0.6237,84,0.9843,0.78,40,0.9897,0.6969,43,0.9869,0.7896,37,0.9749
53,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1466,56,0.9639,0.6327,58,0.9874,0.7842,26,0.992,0.704,25,0.9898,0.7991,1,0.9796
54,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.25,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.12,118,0.3066,0.5912,138,0.6852,0.682,132,0.7783,0.5631,133,0.6724,0.6605,132,0.7397
55,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.25,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1057,138,0.3897,0.6091,119,0.7317,0.7062,129,0.8413,0.5972,124,0.766,0.7004,120,0.8114
56,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.25,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1298,95,0.5163,0.6069,124,0.7861,0.7432,107,0.8875,0.6468,103,0.8436,0.7561,100,0.8629
57,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.25,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1348,86,0.6576,0.6207,92,0.8495,0.7658,82,0.9116,0.6854,64,0.8821,0.7776,81,0.8849
58,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.25,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.137,85,0.7647,0.618,95,0.8982,0.7648,85,0.9294,0.6783,75,0.9085,0.7842,65,0.9012
59,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.25,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1416,76,0.8461,0.6396,47,0.937,0.7804,39,0.9393,0.6964,46,0.9218,0.7976,3,0.9081
60,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.5,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1225,115,0.4148,0.6165,100,0.738,0.715,125,0.8558,0.6018,121,0.7805,0.696,123,0.8144
61,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.5,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1176,122,0.5569,0.6081,122,0.8015,0.7304,113,0.905,0.6329,109,0.8647,0.7371,110,0.8809
62,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.5,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1371,83,0.7294,0.6147,110,0.8806,0.7563,93,0.9448,0.6591,96,0.9274,0.7707,93,0.9248
63,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.5,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.137,84,0.8547,0.6275,73,0.9406,0.7792,41,0.9632,0.7023,30,0.9526,0.7876,47,0.9419
64,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.5,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1564,40,0.9207,0.6424,38,0.9697,0.7839,27,0.973,0.7051,18,0.9658,0.7938,10,0.9528
65,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.5,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1419,70,0.9527,0.6321,59,0.9829,0.7818,34,0.9785,0.6976,42,0.9726,0.7927,17,0.9602
66,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.75,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1058,137,0.5075,0.5768,144,0.7785,0.6814,133,0.8937,0.5694,131,0.8441,0.6975,121,0.8558
67,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.75,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1247,113,0.6632,0.5994,134,0.8492,0.7271,114,0.9355,0.6297,111,0.9124,0.7432,106,0.9086
68,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.75,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1418,73,0.8229,0.6104,118,0.9241,0.7533,99,0.9656,0.6628,90,0.9556,0.7724,88,0.9414
69,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.75,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.125,109,0.9169,0.6207,91,0.9685,0.7704,70,0.9797,0.6853,65,0.9741,0.7844,63,0.9608
70,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.75,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.161,27,0.9471,0.6398,46,0.9812,0.7764,53,0.9856,0.6976,41,0.9815,0.7916,23,0.9683
71,"RandomForestClassifier(max_depth=2, n_estimators=32)",8,0.75,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1636,22,0.9578,0.6362,53,0.9851,0.7857,15,0.988,0.7082,9,0.9848,0.7988,2,0.9732
72,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.108,135,0.6835,0.5971,135,0.8575,0.6655,140,0.9458,0.5495,139,0.901,0.6363,134,0.8905
73,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1343,89,0.8862,0.6241,83,0.9477,0.7184,121,0.984,0.6015,122,0.969,0.6966,122,0.9531
74,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1274,101,0.9762,0.631,62,0.9901,0.7606,90,0.9981,0.6546,100,0.9963,0.7519,103,0.9888
75,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1684,12,0.996,0.6466,29,0.9989,0.7716,65,0.9998,0.669,87,0.9997,0.7752,84,0.9982
76,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1539,45,0.9976,0.6435,36,0.9995,0.7746,55,1.0,0.6935,52,1.0,0.7888,40,1.0
77,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.173,9,0.9976,0.6454,31,0.9995,0.7824,31,1.0,0.7041,24,1.0,0.7941,9,1.0
78,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.25,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1009,140,0.3045,0.5815,143,0.6855,0.6491,144,0.7775,0.5307,144,0.6654,0.6074,144,0.7237
79,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.25,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1296,97,0.4092,0.6279,71,0.735,0.7268,115,0.845,0.6164,116,0.7545,0.6918,128,0.8024
80,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.25,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1202,117,0.5468,0.6165,101,0.8001,0.7471,104,0.8948,0.631,110,0.8357,0.7426,107,0.8592
81,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.25,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1467,55,0.688,0.6147,109,0.865,0.7557,96,0.9256,0.6624,91,0.888,0.7591,98,0.8936
82,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.25,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1297,96,0.8232,0.6272,75,0.9222,0.7681,76,0.9445,0.6762,77,0.9222,0.779,79,0.9121
83,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.25,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1586,34,0.9062,0.6512,18,0.9601,0.7817,35,0.9523,0.6978,40,0.936,0.7882,44,0.917
84,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.5,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1346,88,0.4738,0.5866,141,0.7641,0.6511,143,0.8644,0.5362,143,0.7754,0.6205,142,0.8019
85,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.5,4,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1493,51,0.6357,0.6163,103,0.8398,0.7105,126,0.9254,0.594,127,0.8724,0.6939,126,0.8752
86,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.5,8,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1441,66,0.8226,0.6286,68,0.9238,0.7641,87,0.9671,0.6536,102,0.9438,0.7526,102,0.9369
87,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.5,16,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1659,20,0.9415,0.6449,34,0.974,0.7714,66,0.9859,0.673,83,0.9777,0.7721,90,0.9642
88,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.5,32,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1616,26,0.9848,0.6336,56,0.9937,0.7746,56,0.9936,0.6826,69,0.9904,0.7849,61,0.9803
89,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.5,64,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1635,23,0.996,0.6491,24,0.999,0.7846,23,0.9971,0.7038,26,0.9959,0.7907,27,0.9891
90,"RandomForestClassifier(max_depth=2, n_estimators=32)",16,0.75,2,"{'classifier': RandomForestClassifier(max_depth=2, n_estimators=32), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1081,134,0.5686,0.5878,140,0.8056,0.6626,141,0.9107,0.5433,142,0.8427,0.6305,141,0.8466
