,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
47,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",4,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1732,4,0.3496,0.6706,1,0.7778,0.7888,1,0.8799,0.7112,3,0.8446,0.8003,5,0.8726
48,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0816,125,0.4031,0.5228,128,0.7917,0.6881,130,0.9113,0.5832,127,0.8626,0.6967,123,0.8932
49,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1128,101,0.5991,0.5908,105,0.8801,0.7233,111,0.9603,0.6153,110,0.9436,0.7379,107,0.9499
50,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1298,73,0.7657,0.6171,92,0.9335,0.743,99,0.9842,0.6464,95,0.9801,0.7719,83,0.9755
51,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1419,51,0.8445,0.6465,46,0.9565,0.7562,87,0.9914,0.6646,77,0.9899,0.7855,62,0.9828
52,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1562,24,0.8881,0.6435,50,0.9706,0.7657,65,0.995,0.6825,57,0.9945,0.787,52,0.9895
53,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1249,83,0.9103,0.6535,23,0.976,0.7747,44,0.9963,0.6962,29,0.996,0.7975,13,0.9916
54,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0433,144,0.1301,0.4477,141,0.5745,0.6751,133,0.7667,0.5538,134,0.6555,0.6484,133,0.7329
55,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.0624,135,0.234,0.5514,117,0.6948,0.7212,115,0.8387,0.6027,116,0.7554,0.7116,117,0.8169
56,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.103,108,0.3163,0.5791,111,0.7574,0.7309,108,0.8839,0.6163,109,0.833,0.7519,100,0.8714
57,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1204,88,0.4172,0.6197,91,0.8082,0.7597,77,0.9121,0.6755,68,0.8823,0.7719,84,0.9021
58,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1564,21,0.4856,0.6521,29,0.8391,0.7723,47,0.9299,0.683,56,0.9116,0.7894,41,0.9175
59,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1371,61,0.5352,0.664,6,0.8583,0.7801,21,0.9421,0.6953,34,0.9301,0.8012,3,0.9307
60,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0579,141,0.2334,0.5169,129,0.6839,0.6847,131,0.8416,0.5702,131,0.7554,0.6894,129,0.8139
61,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1059,107,0.3723,0.5856,107,0.7852,0.7339,103,0.9036,0.6226,106,0.8562,0.7441,105,0.8872
62,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1227,86,0.5198,0.6141,94,0.8476,0.7465,94,0.9408,0.6494,94,0.9184,0.7664,90,0.929
63,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1441,49,0.6341,0.6327,74,0.8912,0.757,86,0.9647,0.673,69,0.9566,0.7765,80,0.9561
