,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
37,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1129,123,0.2981,0.618,103,0.6988,-0.3402,92,-0.2709,0.6005,86,0.6706
38,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1611,32,0.3552,0.6323,56,0.7238,-0.332,66,-0.2453,0.6075,67,0.7029
39,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1708,14,0.3988,0.644,26,0.75,-0.3201,22,-0.2224,0.6188,21,0.7275
40,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1732,9,0.4231,0.6543,14,0.7592,-0.3122,9,-0.2147,0.6256,7,0.7344
41,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1899,4,0.4434,0.6644,4,0.7705,-0.3045,1,-0.2046,0.6348,1,0.7453
42,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1297,102,0.2639,0.605,127,0.6724,-0.3471,110,-0.2859,0.5942,105,0.6634
43,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1298,101,0.3205,0.6297,63,0.6981,-0.3284,55,-0.2644,0.6129,45,0.6868
44,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1494,55,0.3681,0.6399,30,0.7321,-0.3244,32,-0.2361,0.6157,32,0.7157
45,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1537,50,0.41,0.648,21,0.7533,-0.3162,12,-0.2184,0.6254,8,0.7337
46,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1661,23,0.4431,0.639,35,0.7656,-0.3245,35,-0.2082,0.6141,39,0.7432
47,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1876,5,0.4631,0.6582,8,0.7799,-0.3077,3,-0.1946,0.6333,2,0.7599
48,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1274,104,0.567,0.6017,132,0.8051,-0.3493,117,-0.1704,0.5923,108,0.7936
49,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1443,68,0.7415,0.611,117,0.8836,-0.3428,101,-0.1009,0.5986,90,0.878
50,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.125,109,0.8571,0.6086,123,0.9404,-0.3414,96,-0.0515,0.6028,79,0.9374
51,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1156,119,0.9298,0.6097,122,0.9734,-0.3441,108,-0.0229,0.5956,103,0.9735
52,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1347,91,0.9509,0.6126,112,0.9826,-0.3401,91,-0.015,0.6013,81,0.9837
53,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1685,17,0.961,0.6395,32,0.9875,-0.3205,24,-0.0108,0.6225,11,0.9881
54,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.0939,140,0.2885,0.5711,144,0.672,-0.3844,144,-0.2923,0.5492,144,0.6506
55,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1202,117,0.3811,0.6011,133,0.7245,-0.3572,131,-0.2473,0.5799,130,0.6963
56,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1607,35,0.5176,0.6221,79,0.7885,-0.3387,86,-0.187,0.6003,87,0.7686
57,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1366,87,0.6544,0.6214,84,0.8494,-0.3389,87,-0.1323,0.5981,92,0.8331
58,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1396,81,0.7626,0.6437,27,0.8999,-0.3184,18,-0.0871,0.6234,9,0.8911
59,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1584,41,0.8443,0.6304,62,0.9339,-0.3302,61,-0.0572,0.6095,61,0.9295
60,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1082,127,0.4281,0.5901,140,0.7376,-0.3625,139,-0.2326,0.5752,135,0.7173
61,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1154,120,0.5631,0.5968,137,0.8008,-0.3602,136,-0.1751,0.5781,132,0.7856
62,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1513,54,0.7244,0.629,64,0.8805,-0.3277,52,-0.1038,0.6156,33,0.8739
63,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1534,51,0.8563,0.6307,61,0.9386,-0.326,44,-0.0529,0.6175,28,0.939
64,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1441,73,0.9225,0.6249,72,0.9704,-0.3338,72,-0.0256,0.6073,68,0.9696
65,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1683,21,0.9479,0.6371,44,0.9812,-0.3177,14,-0.0162,0.6289,4,0.9817
66,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1422,76,0.5126,0.6164,107,0.776,-0.3413,95,-0.1969,0.5957,102,0.7606
67,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1037,131,0.684,0.6104,120,0.8587,-0.3497,118,-0.1233,0.5859,118,0.8482
68,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1346,92,0.8269,0.5968,138,0.9265,-0.3538,126,-0.0635,0.5881,116,0.9227
69,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1368,86,0.9132,0.6201,95,0.9661,-0.3398,90,-0.0292,0.5985,91,0.9667
70,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1587,36,0.9503,0.6281,68,0.983,-0.3246,37,-0.0146,0.6202,17,0.9836
71,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",8,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1443,67,0.9618,0.6313,60,0.9877,-0.3274,51,-0.0106,0.6143,38,0.988
72,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0912,143,0.6795,0.6101,121,0.8521,-0.3509,121,-0.1313,0.5846,122,0.8274
73,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1226,114,0.8964,0.622,80,0.9547,-0.3438,106,-0.0394,0.5898,113,0.9458
74,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1443,68,0.9776,0.6217,82,0.9899,-0.3433,104,-0.0087,0.592,109,0.988
75,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1439,74,0.9968,0.6287,65,0.9991,-0.3309,63,-0.0008,0.6109,55,0.9988
76,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1585,40,0.9976,0.6369,46,0.9995,-0.3259,43,-0.0004,0.614,40,0.9994
77,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1419,79,0.9976,0.6136,110,0.9995,-0.3437,105,-0.0004,0.5974,96,0.9996
78,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1081,128,0.3021,0.6224,78,0.6908,-0.349,115,-0.2808,0.5849,119,0.6568
79,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.0914,141,0.4244,0.6026,131,0.7416,-0.3606,137,-0.2323,0.5737,138,0.7119
80,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1369,85,0.5433,0.6058,126,0.797,-0.3611,138,-0.1815,0.5747,137,0.7696
81,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1516,53,0.7035,0.6218,81,0.8687,-0.3393,88,-0.1156,0.5988,89,0.8502
82,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1228,112,0.8339,0.6185,102,0.9264,-0.3422,99,-0.0644,0.5981,93,0.9127
83,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1685,17,0.9079,0.6354,51,0.9602,-0.3257,41,-0.0345,0.6132,42,0.9545
84,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1034,132,0.4656,0.6011,134,0.7598,-0.3589,134,-0.2159,0.5751,136,0.7295
85,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1152,122,0.6485,0.6209,88,0.8457,-0.3453,109,-0.1375,0.5903,112,0.819
86,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1034,135,0.8224,0.6002,136,0.9216,-0.3601,135,-0.0687,0.5761,134,0.9058
87,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1586,37,0.9343,0.6206,91,0.9698,-0.337,78,-0.0262,0.6029,78,0.9639
88,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1345,94,0.9845,0.6232,75,0.9942,-0.3325,67,-0.005,0.6095,62,0.9945
89,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1348,88,0.9968,0.6205,93,0.9992,-0.3364,75,-0.0007,0.6052,75,0.999
90,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1034,135,0.5804,0.6109,118,0.8095,-0.3527,125,-0.1704,0.5817,126,0.781
91,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1103,126,0.7919,0.6118,113,0.9059,-0.3514,123,-0.0828,0.5849,120,0.8872
92,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1539,49,0.9324,0.6263,70,0.969,-0.3368,77,-0.0269,0.6005,85,0.9618
93,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1346,93,0.9885,0.6196,97,0.9956,-0.3416,97,-0.0038,0.5958,101,0.9944
94,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1466,63,0.9973,0.6378,40,0.9994,-0.3253,39,-0.0005,0.6148,37,0.9992
95,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",16,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1636,26,0.9976,0.6326,55,0.9995,-0.3244,34,-0.0004,0.6192,18,0.9995
96,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0817,144,0.672,0.5813,143,0.8517,-0.381,143,-0.1326,0.5524,143,0.8218
97,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1105,125,0.8833,0.626,71,0.948,-0.3394,89,-0.0454,0.5968,98,0.9362
98,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1271,107,0.9778,0.6174,104,0.9908,-0.3426,100,-0.0079,0.5932,106,0.9896
99,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1563,46,0.9952,0.615,108,0.9983,-0.3433,103,-0.0015,0.5946,104,0.9981
100,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.149,56,0.9976,0.6229,76,0.9995,-0.3338,71,-0.0004,0.6092,63,0.9994
101,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1441,72,0.9976,0.6322,57,0.9995,-0.3298,59,-0.0004,0.608,64,0.9993
102,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1034,132,0.3104,0.6203,94,0.6861,-0.3479,112,-0.2846,0.5861,117,0.6533
103,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1322,96,0.4145,0.6112,115,0.741,-0.3541,127,-0.2359,0.5802,128,0.7033
104,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1274,105,0.5537,0.6235,73,0.8001,-0.3379,81,-0.1775,0.5997,88,0.777
105,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.125,108,0.7091,0.6112,116,0.8717,-0.3481,114,-0.1129,0.5906,111,0.8535
106,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1393,83,0.817,0.6328,54,0.919,-0.3326,68,-0.0709,0.6066,70,0.9048
107,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1755,8,0.9028,0.6387,37,0.9585,-0.3257,40,-0.036,0.6153,34,0.9514
108,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.1296,103,0.476,0.5907,139,0.757,-0.3665,140,-0.2176,0.569,140,0.7291
109,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1274,106,0.6562,0.6284,67,0.8456,-0.338,82,-0.1375,0.5959,100,0.819
110,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.1465,65,0.8128,0.6191,101,0.9178,-0.3418,98,-0.072,0.5962,99,0.9025
111,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.1466,62,0.9396,0.6391,34,0.9741,-0.3269,50,-0.0224,0.6102,58,0.9711
112,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.13,99,0.9874,0.6211,86,0.9959,-0.3373,80,-0.0036,0.6041,76,0.9947
